pdf_path,pillar_primary,doi
ChemCatChem - 2024 - Stalder - Biocatalytic Synthesis of l‐Pipecolic Acid by a Lysine Cyclodeaminase  Batch and Flow.pdf,,10.1002/cctc.202301671
01_Bornscheuer_2012_Nature.pdf,,10.1038/nature11117
02_Sheldon_2018_ChemRev.pdf,,10.1021/acs.chemrev.7b00203
03_Bell_2021_NatRevMethodsPrimers.pdf,,10.1101/pdb.prot4143
04_Winkler_2021_ACSCentSci.pdf,,10.1021/acscentsci.0c01496
05_Reetz_2013_JACS.pdf,,10.1021/ja405051f
06_Arnold_2018_ACIE.pdf,,10.1002/anie.201708408
07_Turner_2009_NatChemBiol.pdf,,10.1038/nchembio.203
09_Bommarius_2015_AnnuRevChemBiomolEng.pdf,,10.1146/annurev-chembioeng-061114-123415
10_Yi_2021_ChemSocRev.pdf,,10.1039/d0cs01575j
11_Hanefeld_2022_ChemSocRev.pdf,,10.1039/d1cs00100k
12_Carrea_2000_ACIE.pdf,,10.1002/1521-3773(20000703)39:13
13_Sheldon_2007_ChemRev.pdf,,10.1021/cr050946x
14_Mateo_2007_BiotechnolAdv.pdf,,10.1016/j.enzmictec.2007.01.018
15_Sheldon_2013_ChemSocRev.pdf,,10.1039/c3cs60075k
16_Britton_2018_ChemSocRev.pdf,,10.1039/c7cs00906b
17_Schrittwieser_2018_ChemRev.pdf,,10.1021/acs.chemrev.7b00033
18_Wachtmeister_2016_CurrOpinBiotechnol.pdf,,10.1016/j.copbio.2016.05.005
19_Lin_2017_MicrobCellFact.pdf,,10.1186/s12934-017-0724-7
20_Buller_2023_Science.pdf,,10.1126/science.ahd8615
